repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
material-components/material-components-android,16932,111,8.742908,939,137756,44568,2061,7.130519,4.0,8.313047,1.537603,1.0,0.982452,92.019893,1.0,944.557092
nostra13/Android-Universal-Image-Loader,16902,0,13.766566,88,7237,5246,140,4.864286,3.0,4.877213,1.585714,1.0,0.959509,28.842857,0.5,99.818992
winterbe/java8-tutorial,16781,0,11.466928,68,2533,335,88,1.034091,1.0,1.044403,1.0,1.0,0.0,3.909091,0.0,9.327547
alibaba/DataX,16779,7,7.623815,864,77512,9582,1222,4.502455,3.0,5.765943,1.715221,1.0,1.513493,22.648936,0.0,185.315969
shuzheng/zheng,16732,0,8.913347,379,30363,3447,509,4.530452,3.0,5.71825,1.408644,1.0,0.492067,340.856582,0.0,1786.342918
Grasscutters/Grasscutter,16646,20,3.379853,5386,2540127,474791,0,,,,,,,,,
heibaiying/BigData-Notes,16629,0,6.485838,66,2762,657,77,5.714286,5.0,3.512598,1.220779,1.0,0.417492,0.818182,0.0,1.861856
JeffLi1993/springboot-learning-example,16559,0,8.571467,163,4082,1436,114,4.614035,3.5,3.868431,1.04386,1.0,0.244962,2.850877,0.0,6.032702
prestodb/presto,16484,12,13.0677,1768,236739,32867,12499,8.763421,6.0,12.085481,1.37395,1.0,0.923206,77.281383,1.0,1391.403217
gyoogle/tech-interview-for-developer,16436,0,6.236346,10,547,52,13,1.307692,1.0,0.751068,1.0,1.0,0.0,0.923077,0.0,3.040327
questdb/questdb,16036,93,11.34851,4243,861089,146592,0,,,,,,,,,
android-hacker/VirtualXposed,15818,50,7.755362,548,44617,5156,1453,3.947006,2.0,5.32607,2.792842,2.0,11.858633,14.695802,0.0,128.637588
dyc87112/SpringBoot-Learning,15791,0,9.034551,321,6899,893,269,4.453532,4.0,2.984205,1.026022,1.0,0.18139,1.453532,0.0,7.19418
android10/Android-CleanArchitecture,15564,0,11.040197,81,2777,1714,105,5.142857,4.0,4.670753,1.428571,1.0,0.705162,6.72381,1.0,23.217821
mockito/mockito,15269,222,12.887528,989,63257,21003,2104,3.478137,2.0,4.53197,1.399715,1.0,1.082617,18.292776,0.0,277.087668
apache/hadoop,15235,0,11.016372,5557,932660,335792,22202,7.454058,4.0,11.373223,1.613864,1.0,1.456432,69.652554,0.0,933.455255
Konloch/bytecode-viewer,15193,61,10.8873,306,29884,9080,414,4.736715,3.0,6.320017,2.05314,1.0,1.839064,13.688406,0.0,59.061154
neo4j/neo4j,14993,72,12.806725,0,0,0,0,,,,,,,,,
zhisheng17/flink-learning,14918,0,6.67133,391,17738,5539,592,4.280405,3.0,4.469762,1.130068,1.0,0.365576,3.300676,0.0,18.482556
quarkusio/quarkus,14876,411,7.162193,481,35968,6550,31412,5.163218,4.0,6.331202,1.223418,1.0,0.636861,55.095982,0.0,6364.464134
apache/pulsar,14832,111,9.182012,4392,653018,160103,7418,6.868428,4.0,10.075096,1.705581,1.0,3.737024,85.212187,0.0,1390.359464
java-decompiler/jd-gui,14709,18,10.444335,221,15865,2634,407,4.538084,3.0,5.430519,2.41769,1.0,2.338894,11.115479,1.0,51.073297
elastic/logstash,14620,206,14.792493,577,46000,15247,865,5.448555,4.0,5.945739,1.641618,1.0,2.190283,21.314451,1.0,103.086749
eclipse-vertx/vert.x,14557,0,14.213279,0,0,0,0,,,,,,,,,
hdodenhof/CircleImageView,14536,0,11.625802,2,397,22,3,11.0,5.0,13.076697,2.333333,2.0,0.57735,178.666667,0.0,309.459744
Tencent/QMUI_Android,14513,35,8.368522,376,56876,10302,1066,5.468105,3.0,6.563909,1.629456,1.0,1.340112,35.342402,0.0,197.898798
alibaba/ARouter,14495,16,8.719947,81,3884,1468,98,3.693878,2.0,4.910347,1.408163,1.0,0.784341,17.44898,0.0,83.332661
supertokens/supertokens-core,14464,91,5.660393,728,141824,15439,974,10.998973,10.0,10.986818,1.596509,1.0,1.092076,71.143737,3.0,1151.285684
arduino/Arduino,14412,37,14.960227,276,26960,10395,450,4.131111,2.0,6.051609,1.768889,1.0,1.922765,32.722222,0.0,208.261027
theonedev/onedev,14229,428,6.825185,3443,326275,13479,8208,5.838207,4.0,8.858095,1.410819,1.0,0.838974,26.063353,0.0,493.852095
deeplearning4j/deeplearning4j,14085,0,11.767108,1363,190073,46428,5669,8.436761,7.0,9.481499,2.189804,2.0,19.440442,54799.523373,7.0,2368620.679991
zaproxy/zaproxy,14034,19,10.251381,1402,211159,81972,2523,4.741577,3.0,5.991717,1.91082,1.0,1.810067,69.668648,1.0,347.751134
GoogleContainerTools/jib,14009,168,7.611911,573,56338,18680,704,7.0625,5.0,7.496917,1.221591,1.0,0.646065,17.071023,0.0,73.046551
orhanobut/logger,13891,16,10.456082,14,814,271,18,5.833333,6.0,3.053445,1.166667,1.0,0.383482,14.944444,0.0,35.586634
Netflix/zuul,13874,28,12.47429,366,28094,9156,501,6.508982,4.0,7.66723,1.612774,1.0,1.000878,24.89022,1.0,137.109234
apache/druid,13813,68,12.8603,6499,991882,196943,14928,7.866626,5.0,9.235823,1.37634,1.0,1.807803,62.047562,1.0,4498.551439
apache/dolphinscheduler,13786,53,6.508769,958,70509,31366,2767,6.531623,5.0,6.558678,1.378388,1.0,0.682608,11.458981,0.0,56.66791
seaswalker/spring-analysis,13724,0,8.982061,32,550,130,33,2.424242,2.0,2.646109,1.242424,1.0,0.751262,1.787879,0.0,3.189412
pinpoint-apm/pinpoint,13704,61,10.870987,1682,83669,25868,9064,5.204545,4.0,5.711776,1.142542,1.0,0.497798,11.411077,0.0,86.9378
JessYanCoding/AndroidAutoSize,13690,14,7.046253,41,2023,2036,49,5.408163,4.0,4.237326,1.408163,1.0,0.496587,31.285714,1.0,136.30022
Curzibn/Luban,13677,6,9.110746,16,1017,231,29,2.965517,1.0,4.814285,1.172414,1.0,0.384426,10.862069,1.0,24.928074
sqshq/piggymetrics,13667,2,10.431962,97,3292,178,99,6.040404,5.0,4.342291,1.060606,1.0,0.239821,3.828283,0.0,10.079318
DuGuQiuBai/Java,13665,0,9.773331,267,6507,2829,619,0.772213,0.0,1.312673,1.177706,1.0,0.735653,1.07916,0.0,5.194458
lgvalle/Material-Animations,13628,0,10.48912,15,992,54,45,4.4,2.0,4.058661,1.466667,1.0,0.756787,4.755556,0.0,16.107812
janishar/mit-deep-learning-book-pdf,13562,3,8.40677,1,2,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cryptomator/cryptomator,13559,193,11.583823,387,23402,1448,443,8.316027,6.0,7.773047,1.428894,1.0,0.980015,18.530474,1.0,64.029835
tink-crypto/tink,13552,21,11.242548,962,145829,31353,1465,7.666212,5.0,7.430359,1.288737,1.0,1.241601,30.075768,1.0,184.046454
LuckSiege/PictureSelector,13542,116,8.661731,338,37051,10930,737,5.156038,2.0,8.657983,1.237449,1.0,0.669042,49.449118,0.0,372.185756
languagetool-org/languagetool,13498,0,12.069348,2032,213486,66390,2607,5.213656,4.0,6.083709,1.570004,1.0,0.956252,55.168009,1.0,396.086973
Bigkoo/Android-PickerView,13483,0,10.682951,40,4287,978,91,3.725275,2.0,5.057593,1.153846,1.0,0.3628,15.494505,0.0,90.56359
